原始序號,項目,組別,名次,獲獎者,座位區域,座位編號,全名,梯次,座位全名
538,國語字音字形,國中學生組,3,,H,49,國語字音字形（國中學生組）第3名,86,H區（7排1號）
539,國語字音字形,國中學生組,4,,H,50,國語字音字形（國中學生組）第4名,86,H區（7排2號）
540,國語字音字形,國中學生組,5,,H,51,國語字音字形（國中學生組）第5名,86,H區（7排3號）
541,國語字音字形,國中學生組,6,,H,52,國語字音字形（國中學生組）第6名,86,H區（7排4號）
542,國語字音字形,高中學生組,1,,H,53,國語字音字形（高中學生組）第1名,87,H區（7排5號）
543,國語字音字形,高中學生組,2,,H,54,國語字音字形（高中學生組）第2名,87,H區（7排6號）
544,國語字音字形,高中學生組,3,,H,55,國語字音字形（高中學生組）第3名,87,H區（7排7號）
545,國語字音字形,高中學生組,4,,H,56,國語字音字形（高中學生組）第4名,87,H區（7排8號）
546,國語字音字形,高中學生組,5,,H,57,國語字音字形（高中學生組）第5名,87,H區（8排1號）
547,國語字音字形,高中學生組,6,,H,58,國語字音字形（高中學生組）第6名,87,H區（8排2號）
548,國語字音字形,教育校院組,1,,H,59,國語字音字形（教育校院組）第1名,88,H區（8排3號）
549,國語字音字形,教育校院組,2,,H,60,國語字音字形（教育校院組）第2名,88,H區（8排4號）
550,國語字音字形,教育校院組,3,,H,61,國語字音字形（教育校院組）第3名,88,H區（8排5號）
551,國語字音字形,教育校院組,4,,H,62,國語字音字形（教育校院組）第4名,88,H區（8排6號）
552,國語字音字形,教育校院組,5,,H,63,國語字音字形（教育校院組）第5名,88,H區（8排7號）
553,國語字音字形,教育校院組,6,,H,64,國語字音字形（教育校院組）第6名,88,H區（8排8號）
554,國語字音字形,教師組,1,,H,65,國語字音字形（教師組）第1名,89,H區（9排1號）
555,國語字音字形,教師組,2,,H,66,國語字音字形（教師組）第2名,89,H區（9排2號）
556,國語字音字形,教師組,3,,H,67,國語字音字形（教師組）第3名,89,H區（9排3號）
557,國語字音字形,教師組,4,,H,68,國語字音字形（教師組）第4名,89,H區（9排4號）
558,國語字音字形,教師組,5,,H,69,國語字音字形（教師組）第5名,89,H區（9排5號）
559,國語字音字形,教師組,6,,H,70,國語字音字形（教師組）第6名,89,H區（9排6號）
560,國語字音字形,社會組,1,,H,71,國語字音字形（社會組）第1名,90,H區（9排7號）
561,國語字音字形,社會組,2,,H,72,國語字音字形（社會組）第2名,90,H區（9排8號）
562,國語字音字形,社會組,3,,H,73,國語字音字形（社會組）第3名,90,H區（10排1號）
563,國語字音字形,社會組,4,,H,74,國語字音字形（社會組）第4名,90,H區（10排2號）
564,國語字音字形,社會組,5,,H,75,國語字音字形（社會組）第5名,90,H區（10排3號）
565,國語字音字形,社會組,6,,H,76,國語字音字形（社會組）第6名,90,H區（10排4號）
566,閩南語字音字形,國小學生組,1,,I,1,閩南語字音字形（國小學生組）第1名,91,I區（1排1號）
567,閩南語字音字形,國小學生組,2,,I,2,閩南語字音字形（國小學生組）第2名,91,I區（1排2號）
568,閩南語字音字形,國小學生組,3,,I,3,閩南語字音字形（國小學生組）第3名,91,I區（1排3號）
569,閩南語字音字形,國小學生組,4,,I,4,閩南語字音字形（國小學生組）第4名,91,I區（1排4號）
570,閩南語字音字形,國小學生組,5,,I,5,閩南語字音字形（國小學生組）第5名,91,I區（1排5號）
571,閩南語字音字形,國小學生組,6,,I,6,閩南語字音字形（國小學生組）第6名,91,I區（1排6號）
572,閩南語字音字形,國中學生組,1,,I,7,閩南語字音字形（國中學生組）第1名,92,I區（1排7號）
573,閩南語字音字形,國中學生組,2,,I,8,閩南語字音字形（國中學生組）第2名,92,I區（1排8號）
574,閩南語字音字形,國中學生組,3,,I,9,閩南語字音字形（國中學生組）第3名,92,I區（2排1號）
575,閩南語字音字形,國中學生組,4,,I,10,閩南語字音字形（國中學生組）第4名,92,I區（2排2號）
576,閩南語字音字形,國中學生組,5,,I,11,閩南語字音字形（國中學生組）第5名,92,I區（2排3號）
577,閩南語字音字形,國中學生組,6,,I,12,閩南語字音字形（國中學生組）第6名,92,I區（2排4號）
578,閩南語字音字形,高中學生組,1,,I,13,閩南語字音字形（高中學生組）第1名,93,I區（2排5號）
579,閩南語字音字形,高中學生組,2,,I,14,閩南語字音字形（高中學生組）第2名,93,I區（2排6號）
580,閩南語字音字形,高中學生組,3,,I,15,閩南語字音字形（高中學生組）第3名,93,I區（2排7號）
581,閩南語字音字形,高中學生組,4,,I,16,閩南語字音字形（高中學生組）第4名,93,I區（2排8號）
582,閩南語字音字形,高中學生組,5,,I,17,閩南語字音字形（高中學生組）第5名,93,I區（3排1號）
583,閩南語字音字形,高中學生組,6,,I,18,閩南語字音字形（高中學生組）第6名,93,I區（3排2號）
584,閩南語字音字形,教育校院組,1,,I,19,閩南語字音字形（教育校院組）第1名,94,I區（3排3號）
585,閩南語字音字形,教育校院組,2,,I,20,閩南語字音字形（教育校院組）第2名,94,I區（3排4號）
586,閩南語字音字形,教育校院組,3,,I,21,閩南語字音字形（教育校院組）第3名,94,I區（3排5號）
587,閩南語字音字形,教育校院組,4,,I,22,閩南語字音字形（教育校院組）第4名,94,I區（3排6號）
588,閩南語字音字形,教育校院組,5,,I,23,閩南語字音字形（教育校院組）第5名,94,I區（3排7號）
589,閩南語字音字形,教育校院組,6,,I,24,閩南語字音字形（教育校院組）第6名,94,I區（3排8號）
590,閩南語字音字形,教師組,1,,I,25,閩南語字音字形（教師組）第1名,95,I區（4排1號）
591,閩南語字音字形,教師組,2,,I,26,閩南語字音字形（教師組）第2名,95,I區（4排2號）
592,閩南語字音字形,教師組,3,,I,27,閩南語字音字形（教師組）第3名,95,I區（4排3號）
593,閩南語字音字形,教師組,4,,I,28,閩南語字音字形（教師組）第4名,95,I區（4排4號）
594,閩南語字音字形,教師組,5,,I,29,閩南語字音字形（教師組）第5名,95,I區（4排5號）
595,閩南語字音字形,教師組,6,,I,30,閩南語字音字形（教師組）第6名,95,I區（4排6號）
596,閩南語字音字形,社會組,1,,I,31,閩南語字音字形（社會組）第1名,96,I區（4排7號）
597,閩南語字音字形,社會組,2,,I,32,閩南語字音字形（社會組）第2名,96,I區（4排8號）
598,閩南語字音字形,社會組,3,,I,33,閩南語字音字形（社會組）第3名,96,I區（5排1號）
599,閩南語字音字形,社會組,4,,I,34,閩南語字音字形（社會組）第4名,96,I區（5排2號）
600,閩南語字音字形,社會組,5,,I,35,閩南語字音字形（社會組）第5名,96,I區（5排3號）
601,閩南語字音字形,社會組,6,,I,36,閩南語字音字形（社會組）第6名,96,I區（5排4號）
602,客家語字音字形,國小學生組,1,,I,41,客家語字音字形（國小學生組）第1名,97,I區（6排1號）
603,客家語字音字形,國小學生組,2,,I,42,客家語字音字形（國小學生組）第2名,97,I區（6排2號）
604,客家語字音字形,國小學生組,3,,I,43,客家語字音字形（國小學生組）第3名,97,I區（6排3號）
605,客家語字音字形,國小學生組,4,,I,44,客家語字音字形（國小學生組）第4名,97,I區（6排4號）
606,客家語字音字形,國小學生組,5,,I,45,客家語字音字形（國小學生組）第5名,97,I區（6排5號）
607,客家語字音字形,國小學生組,6,,I,46,客家語字音字形（國小學生組）第6名,97,I區（6排6號）
608,客家語字音字形,國中學生組,1,,I,47,客家語字音字形（國中學生組）第1名,98,I區（6排7號）
609,客家語字音字形,國中學生組,2,,I,48,客家語字音字形（國中學生組）第2名,98,I區（6排8號）
610,客家語字音字形,國中學生組,3,,I,49,客家語字音字形（國中學生組）第3名,98,I區（7排1號）
611,客家語字音字形,國中學生組,4,,I,50,客家語字音字形（國中學生組）第4名,98,I區（7排2號）
612,客家語字音字形,國中學生組,5,,I,51,客家語字音字形（國中學生組）第5名,98,I區（7排3號）
613,客家語字音字形,國中學生組,6,,I,52,客家語字音字形（國中學生組）第6名,98,I區（7排4號）
614,客家語字音字形,高中學生組,1,,I,53,客家語字音字形（高中學生組）第1名,99,I區（7排5號）
615,客家語字音字形,高中學生組,2,,I,54,客家語字音字形（高中學生組）第2名,99,I區（7排6號）
616,客家語字音字形,高中學生組,3,,I,55,客家語字音字形（高中學生組）第3名,99,I區（7排7號）
617,客家語字音字形,高中學生組,4,,I,56,客家語字音字形（高中學生組）第4名,99,I區（7排8號）
618,客家語字音字形,高中學生組,5,,I,57,客家語字音字形（高中學生組）第5名,99,I區（8排1號）
619,客家語字音字形,高中學生組,6,,I,58,客家語字音字形（高中學生組）第6名,99,I區（8排2號）
620,客家語字音字形,教育校院組,1,,I,59,客家語字音字形（教育校院組）第1名,100,I區（8排3號）
621,客家語字音字形,教育校院組,2,,I,60,客家語字音字形（教育校院組）第2名,100,I區（8排4號）
622,客家語字音字形,教育校院組,3,,I,61,客家語字音字形（教育校院組）第3名,100,I區（8排5號）
623,客家語字音字形,教育校院組,4,,I,62,客家語字音字形（教育校院組）第4名,100,I區（8排6號）
624,客家語字音字形,教育校院組,5,,I,63,客家語字音字形（教育校院組）第5名,100,I區（8排7號）
625,客家語字音字形,教師組,1,,I,64,客家語字音字形（教師組）第1名,101,I區（8排8號）
626,客家語字音字形,教師組,2,,I,65,客家語字音字形（教師組）第2名,101,I區（9排1號）
627,客家語字音字形,教師組,3,,I,66,客家語字音字形（教師組）第3名,101,I區（9排2號）
628,客家語字音字形,教師組,4,,I,67,客家語字音字形（教師組）第4名,101,I區（9排3號）
629,客家語字音字形,教師組,5,,I,68,客家語字音字形（教師組）第5名,101,I區（9排4號）
630,客家語字音字形,教師組,6,,I,69,客家語字音字形（教師組）第6名,101,I區（9排5號）
631,客家語字音字形,社會組,1,,I,70,客家語字音字形（社會組）第1名,102,I區（9排6號）
632,客家語字音字形,社會組,2,,I,71,客家語字音字形（社會組）第2名,102,I區（9排7號）
633,客家語字音字形,社會組,3,,I,72,客家語字音字形（社會組）第3名,102,I區（9排8號）
634,客家語字音字形,社會組,4,,I,73,客家語字音字形（社會組）第4名,102,I區（10排1號）
635,客家語字音字形,社會組,5,,I,74,客家語字音字形（社會組）第5名,102,I區（10排2號）
636,客家語字音字形,社會組,6,,I,75,客家語字音字形（社會組）第6名,102,I區（10排3號）
